personality_trait,emotion_metric,pearson_r,pearson_p,spearman_r,spearman_p
strong_opinions,prop_happy,0.6709473079212523,0.0061782100595739265,0.5145808171385198,0.049685670528283446
strong_opinions,prop_excited,0.6228022450216993,0.013139355352613628,0.11788578719900636,0.6756366799589666
comfort_sensitive,mean_calmness,0.5697992179697643,0.026589976494596906,0.6897983854692661,0.0044321287761453386
listening,prop_excited,-0.5452760832279906,0.035531404100761665,-0.40351271967254504,0.13583032704668166
comfort_sensitive,mean_arousal,-0.5282258347212607,0.04295839041448165,-0.6466859863774369,0.009177556854866735
listening,prop_tired,0.515945845094402,0.048979876929427575,0.4772136730373934,0.07205148165583634
express_emotions,prop_fear,-0.5126299441732693,0.05070733247184817,-0.28848203496661673,0.2970697894308822
strong_opinions,valence_variability,0.48921805745319297,0.06420278397388482,0.37611179725397265,0.1670730633184369
strong_opinions,std_valence,0.48921805745319297,0.06420278397388482,0.37611179725397265,0.1670730633184369
clarity,prop_excited,0.4672609429247271,0.07906347147655302,0.32772912599849785,0.23307995748568505
clarity,mean_stress,0.4653445393822023,0.08046760649062806,0.44876545094112474,0.09336490488898616
strong_opinions,prop_angry,0.4555053371517126,0.08795764135992372,0.38546781211103665,0.1559177720805616
clarity,mean_positivity,0.45526750066678895,0.08814458638606879,0.39476462904364507,0.14533608447222204
clarity,mean_negativity,-0.45526750066678895,0.08814458638606879,-0.39476462904364507,0.14533608447222204
clarity,mean_valence,0.45526750066678895,0.08814458638606879,0.39476462904364507,0.14533608447222204
listening,prop_sad,0.4497563081822154,0.09255564460459408,0.46431600619854496,0.08122849400173841
clarity,prop_sad,-0.4322341698393347,0.10761039127786456,-0.4915936889977467,0.06272619629807097
express_emotions,prop_disgust,-0.42822185330614343,0.11128365787780387,-0.385942181914798,0.15536576089654433
listening,prop_happy,-0.42105631033938157,0.11805817105775382,-0.12344909688612109,0.661153617232362
clarity,prop_happy,0.41936284255343914,0.11969979922131846,0.18807182798777428,0.5020695090992937
express_emotions,prop_neutral,0.41071147253338464,0.12833151994752445,0.35865334076930727,0.18926901926594447
comfort_sensitive,prop_fear,-0.40382339213392515,0.13550071006843065,-0.5663401517063008,0.027735023436078598
comfort_sensitive,mean_stress,0.39848504149400205,0.14124035783588293,0.3194236841803703,0.24583712772934727
express_emotions,prop_stressed,-0.3964166660886901,0.14350765144642214,-0.07601891461958143,0.7877243677206798
express_emotions,prop_calm,0.3860869383795151,0.1551975716102345,0.3800945730979071,0.1622618325258802
express_emotions,mean_excitement,-0.3853019244622779,0.15611111908130162,0.04288246465719978,0.8793895724187635
comfort_sensitive,prop_stressed,-0.37944097984963093,0.16304500513453585,-0.4370029544308134,0.10335528045005767
express_emotions,mean_stress,0.37877056060846614,0.16385093679989154,0.25729478794319866,0.3545661189650723
express_emotions,mean_positivity,0.3784905086564337,0.16418837528995464,0.3411105143186346,0.21341081729561845
express_emotions,mean_negativity,-0.3784905086564337,0.16418837528995464,-0.3411105143186346,0.21341081729561845
express_emotions,mean_valence,0.3784905086564337,0.16418837528995464,0.3411105143186346,0.21341081729561845
comfort_sensitive,valence_variability,-0.37495897997063116,0.1684830549165624,-0.41348710038072484,0.12551727688457148
comfort_sensitive,std_valence,-0.37495897997063116,0.1684830549165624,-0.41348710038072484,0.12551727688457148
comfort_sensitive,prop_neutral,0.3740815094199945,0.16956151710697362,0.49775224406020896,0.05901324721858043
comfort_sensitive,mean_excitement,-0.3707738029978766,0.17366770775547202,-0.2841499031052374,0.30470751396874296
handles_disagreements,arousal_variability,0.3605485890262198,0.1867716876596035,0.16770509831248423,0.5502222733135786
handles_disagreements,std_arousal,0.3605485890262198,0.1867716876596035,0.16770509831248423,0.5502222733135786
express_emotions,mean_arousal,-0.36006359956217376,0.18740870189217698,-0.24559957030941693,0.377610092138037
listening,mean_positivity,-0.3500168020627982,0.2009222422030782,-0.29848886112763606,0.27986236910384066
listening,mean_negativity,0.3500168020627982,0.2009222422030782,0.29848886112763606,0.27986236910384066
listening,mean_valence,-0.3500168020627982,0.2009222422030782,-0.29848886112763606,0.27986236910384066
clarity,prop_tired,-0.34470266146357403,0.20831605596491687,-0.3724194613619293,0.17161671047570876
clarity,prop_disgust,-0.34339585851594473,0.21016044934119757,-0.16014036838562962,0.5685999599629137
express_emotions,mean_calmness,0.3321542288246381,0.2264548868703941,0.23585355561459875,0.3974160011590909
comfort_sensitive,mean_intensity,-0.3318326110206361,0.22693237622518622,-0.45463984496837984,0.08863928866813116
express_emotions,prop_angry,0.3312734932065658,0.22776397002346016,0.3216184849289983,0.24242495884380838
listening,std_arousal,-0.33046240917063807,0.2289737081253031,-0.3629771953218784,0.1836029579055965
listening,arousal_variability,-0.33046240917063807,0.2289737081253031,-0.3629771953218784,0.1836029579055965
handles_disagreements,prop_happy,0.31937766787709526,0.2459089824015393,0.25155764746872633,0.36577100819961295
clarity,prop_calm,0.31647566804524274,0.25046660374959523,0.3072460556235917,0.2653038458684118
listening,prop_disgust,0.3136236977768573,0.25499578660115446,0.33533933781006026,0.22176013591185603
comfort_sensitive,mean_valence,0.302095042494057,0.27381059166166366,0.3370605747179368,0.21924878811877582
comfort_sensitive,mean_positivity,0.302095042494057,0.27381059166166366,0.3370605747179368,0.21924878811877582
comfort_sensitive,mean_negativity,-0.302095042494057,0.27381059166166366,-0.3370605747179368,0.21924878811877582
makes_heard,prop_disgust,0.2955519609257432,0.2848494847443981,0.23323846841844753,0.4028222823258154
strong_opinions,prop_disgust,-0.2945238276860864,0.286607743699744,-0.16279465851291353,0.5621223666635684
handles_disagreements,prop_excited,0.29439254952248955,0.2868327112597761,0.11180339887498948,0.6915926018011196
makes_heard,prop_calm,-0.29226694357614524,0.2904898726752344,-0.25891609796910225,0.35143456636281944
clarity,prop_fear,-0.2903192223156233,0.29386506089875775,-0.21972748220353833,0.43136255990068273
comfort_sensitive,prop_happy,-0.28932372878240153,0.29559902766480756,-0.29198852112193363,0.2909709382247752
clarity,prop_neutral,0.2886265155135713,0.29681702138454646,0.3072460556235917,0.2653038458684118
listening,prop_calm,-0.2876881469993639,0.2984609486000178,-0.19346500258272706,0.48965700689867064
comfort_sensitive,prop_calm,0.28415260163545336,0.3047027210357722,0.41152744587655077,0.12749976648558808
strong_opinions,mean_intensity,0.28217461046900344,0.3082276770654975,0.2507411981693151,0.36738117616794697
makes_heard,prop_sad,0.28162578438105806,0.30920991669403736,0.3851644432598216,0.15627147854507106
comfort_sensitive,prop_excited,-0.27519424809374626,0.32085558142528353,-0.001959654504174051,0.9944697527031623
express_emotions,prop_sad,-0.2687101333001238,0.3328473995194154,-0.1910218880184354,0.49526181843159633
comfort_sensitive,prop_angry,-0.26608078164541227,0.3377815905776463,-0.2723919760801931,0.32600732053247305
comfort_sensitive,intensity_variability,-0.2639826750295434,0.34174830013648066,-0.2116426864507975,0.4489192681574663
makes_heard,prop_tired,0.26336143772165177,0.34292782406387223,0.250356888118884,0.3681404379434712
express_emotions,mean_intensity,-0.24745496508596798,0.3739012751612382,-0.24365036737045329,0.38152779102342527
makes_heard,prop_angry,0.24503455129465052,0.3787434725966331,0.3017121472201936,0.2744493937912491
strong_opinions,prop_surprise,-0.23449690749556112,0.4002158396752361,-0.02806804457119199,0.9209042391778253
listening,prop_angry,-0.22719633179821344,0.4154603183040929,-0.15477200206618166,0.5817958749069697
listening,intensity_variability,-0.22713006102156458,0.4156000631522895,-0.1308191922226059,0.6421380645227954
makes_heard,prop_neutral,-0.2199748093700721,0.4308310594479035,-0.20756083886779272,0.457916499903514
handles_disagreements,prop_neutral,-0.2169099180582575,0.43744096275524685,-0.18367701243748272,0.5122911733611795
strong_opinions,mean_calmness,-0.21684865516632526,0.437573605880955,-0.20208992091258232,0.4701134411053203
handles_disagreements,prop_calm,-0.2152674376771861,0.4410042019539138,-0.17968403390623308,0.5216600843013502
handles_disagreements,mean_intensity,0.2121752617050601,0.4477519099028106,0.17169807684373384,0.5406268584369343
stays_calm,prop_excited,0.20833719594615485,0.4561984367529893,-0.03320717885814343,0.906476121168114
makes_heard,mean_valence,-0.2072552778238746,0.4585935745432339,-0.20328123394268363,0.4674441662992105
makes_heard,mean_positivity,-0.2072552778238746,0.4585935745432339,-0.20328123394268363,0.4674441662992105
makes_heard,mean_negativity,0.2072552778238746,0.4585935745432339,0.20328123394268363,0.4674441662992105
strong_opinions,mean_stress,0.2022240907106522,0.46981244885402074,0.14782503474161113,0.599055906291146
listening,prop_surprise,-0.2015363549652545,0.4713562827599359,-0.30217390879587847,0.27367912631990854
