personality_trait,summary_metric,pearson_r,pearson_p,spearman_r,spearman_p
comfort_sensitive,Factual_Accuracy,0.475127634069748,0.07348263942038874,0.42333375666730166,0.11587498976212698
express_emotions,Compression_Ratio,0.405508340837374,0.13372246640991414,0.4136004742052157,0.12540323152571628
comfort_sensitive,Overall_Percentage,0.38081687140348136,0.16139923872631395,0.44288191794333553,0.09827302315393263
comfort_sensitive,Topic_Coverage,0.36352707155599795,0.18289039478723426,0.37574142205113864,0.1675252108453911
listening,Topic_Coverage,0.3526123655589406,0.19737289524201365,0.2759149166451422,0.31953829691621516
strong_opinions,Compression_Ratio,0.3334781035175021,0.22449603433656573,0.341799857088821,0.21242705174362017
listening,Overall_Percentage,0.313590686677299,0.2550485021120768,0.27453605128406033,0.3220613959134152
handles_disagreements,Overall_Percentage,-0.29230426273764515,0.29042542742303323,-0.19166296949998196,0.49378818915885436
makes_heard,Compression_Ratio,-0.2895364113639766,0.2952280690808393,-0.2880607432285202,0.2978075592060035
clarity,Overall_Percentage,0.2817955704101293,0.3089058549230431,0.27372830410101806,0.32354473236778636
handles_disagreements,Topic_Coverage,-0.2796205395754723,0.3128141526590246,-0.2565494280568599,0.3560109562925977
express_emotions,Topic_Coverage,0.2757488642604815,0.31984154208160864,0.250473121878454,0.36791071032040357
comfort_sensitive,Compression_Ratio,0.2660885760578464,0.33776690302714507,0.2530214439857328,0.3628938829002877
clarity,Semantic_Similarity,0.24671385732152382,0.3753803194629601,0.184347633374155,0.5107252728405576
makes_heard,Factual_Accuracy,0.2324952774876385,0.4043657463375165,0.23112508176051214,0.40721951238582044
clarity,Topic_Coverage,0.22996879101169124,0.40963595648776224,0.2967449114384862,0.28281742020873274
clarity,Compression_Ratio,0.22984495283392886,0.4098951999239838,0.24322095714132072,0.3823937971931455
makes_heard,Topic_Coverage,-0.2259668220024647,0.41805694881988337,-0.286873156208883,0.2998930561074211
handles_disagreements,Factual_Accuracy,0.21821789023599236,0.43461387077349883,0.21564548729448568,0.4401827590238174
handles_disagreements,Compression_Ratio,0.2146712895724814,0.44230110603080847,0.1778464070278525,0.5259976443989773
express_emotions,Overall_Percentage,0.21320510265033976,0.44549889774202034,0.19492029389636262,0.4863327187952402
makes_heard,Overall_Percentage,-0.21069478728215366,0.4510007294980362,-0.17546380192947428,0.5316455799351649
listening,Factual_Accuracy,-0.2034333678016837,0.467103825546378,-0.19901531999293035,0.4770364771012535
express_emotions,Factual_Accuracy,0.19174124721184255,0.4936083966608511,0.2736993743466187,0.32359793104658385
handles_disagreements,Semantic_Similarity,-0.1763966921553025,0.5294309612543063,-0.16770509831248423,0.5502222733135786
stays_calm,Topic_Coverage,0.17426276060965676,0.5345028328274706,0.1709619716484739,0.5423902255554536
stays_calm,Semantic_Similarity,-0.17067154405600957,0.5430866482515047,-0.16994262121520456,0.5448362704003988
express_emotions,Semantic_Similarity,-0.14161104261549343,0.6146649240187191,-0.10720616164299944,0.7037333501776102
comfort_sensitive,Semantic_Similarity,0.11041037750139127,0.6952641998193231,0.15089339682140196,0.5914072685222694
stays_calm,Overall_Percentage,0.1083535525890822,0.7006968768967989,0.14650225966827982,0.6023653481713921
strong_opinions,Semantic_Similarity,-0.10390503103755773,0.7124925714423179,-0.14969623771302393,0.5943867837486732
stays_calm,Compression_Ratio,0.09359354952472546,0.7400642329940311,0.0967779388649222,0.7315164776566441
strong_opinions,Topic_Coverage,0.08448037084529118,0.7646798705705242,0.07951893212092466,0.7781712363656572
stays_calm,Factual_Accuracy,0.07537783614444091,0.7894772488958153,0.04219747362848611,0.8813035040159833
makes_heard,Semantic_Similarity,-0.06186612002085079,0.8266281315477157,-0.08559209850218258,0.7616652612919386
strong_opinions,Overall_Percentage,0.045006696706135045,0.8734582437932579,-0.0018712029714127991,0.9947193642650225
listening,Compression_Ratio,0.03704866802216561,0.8957086058960213,0.056247220112950566,0.8421830579583559
clarity,Factual_Accuracy,0.03500700210070026,0.9014293102563443,0.06033884900318473,0.8308504319306564
listening,Semantic_Similarity,0.021872235709652584,0.9383290760279902,0.014740190672969678,0.9584186846767113
strong_opinions,Factual_Accuracy,-4.163336342344337e-17,1.0000000000000009,-0.020211302086361082,0.9430049416264088
